"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_run","b_walkoff","b_reached_on_int","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","edge_percent","whiff_percent","swing_percent"
"Duran, Jarren","680776","2024","27","671","735","191","108","48","14","21","160","54",21.8,7.3,".285",".492",".342","0.834","75","111","1","0",".275",".453",".357",".342",".334",".178",".429",".408",".372",".360",".010",".039",73.6,36.4,17.9,13.8,30.2,23.3,"7.6","21","90.8","9.5",33.8,"48",9.3,35.7,2.7,43.9,"101.928155512","95.341113209",42.7,24.8,48.3
"Hoerner, Nico","663538","2024","27","582","641","159","116","35","1","7","66","44",10.3,6.9,".273",".373",".335","0.708","48","86","2","0",".280",".353",".313",".313",".344",".073",".312",".313",".306",".317","-0.007",".020",68.2,2.8,7.2,6.4,35.4,31.7,"7.1","11","85.7","10.4",36,"6",1.2,35.3,4.2,27.6,"95.980926525","91.993965849",43.6,11.9,48.4
"Guerrero Jr., Vladimir","665489","2024","25","616","697","199","124","44","1","30","96","72",13.8,10.3,".323",".544",".396","0.940","103","98","0","0",".321",".567",".398",".408",".395",".247",".434",".448",".380",".378",".002","-0.023",75.9,57.4,24.2,19.4,34.5,27.7,"7.7","9","93.8","7.4",35.1,"72",13.7,34.7,2.9,54.9,"105.663720766","97.649346073",41.2,21.5,48
"Ramírez, José","608070","2024","31","620","682","173","93","39","2","39","82","54",12,7.9,".279",".537",".335","0.872","118","114","0","1",".259",".453",".364",".329",".320",".193",".393",".350",".318",".299",".020",".084",71.6,19.7,13.9,12.1,32.6,28.3,"7.3","17","89.2","19.6",34,"47",8.6,25.9,2.9,39.7,"99.642954081","93.982319614",44.3,15.2,49.4
"Semien, Marcus","543760","2024","33","650","718","154","102","27","2","23","105","64",14.6,8.9,".237",".391",".308","0.699","74","101","1","0",".251",".391",".306",".313",".321",".140",".319",".328",".282",".299","-0.014",".000",68.3,4.2,11.9,9.8,37.5,30.7,"7.7","27","87.4","17",33,"36",6.6,26.7,4.8,35.2,"97.806210919","93.005121934",43.1,20.2,50
"Hoskins, Rhys","656555","2024","31","449","517","96","56","14","0","26","149","53",28.8,10.3,".214",".419",".303","0.722","82","59","0","2",".202",".387",".313",".301",".295",".185",".393",".372",".314",".301",".012",".032",71.2,13,12,9.1,29.8,22.8,"8.1","23","88.7","20.8",29.7,"39",12.7,23.9,3.9,42.2,"99.737434248","94.057895065",43.4,26.3,42.8
"O'Hoppe, Logan","681351","2024","24","479","522","117","79","17","1","20","155","33",29.7,6.3,".244",".409",".303","0.712","56","64","1","0",".251",".454",".311",".331",".310",".203",".411",".442",".360",".370","-0.007","-0.045",70.7,17.4,14.6,10.1,32.9,22.7,"7.3","41","90.4","15.3",42.9,"39",12,26.7,3.1,46.3,"101.233350982","95.0870388",41.4,33.6,52
"Busch, Michael","683737","2024","26","496","567","123","72","28","2","21","162","63",28.6,11.1,".248",".440",".335","0.775","65","73","1","0",".217",".418",".336",".319",".309",".202",".428",".399",".364",".321",".031",".022",70.3,11.3,13.3,9.6,35,25.2,"7.3","18","89.9","17.2",36.4,"38",11.2,28.1,4.1,39.9,"99.992212321","94.35127744",45.2,28.4,45.2
"Thomas, Lane","657041","2024","28","472","528","112","68","26","3","15","137","44",25.9,8.3,".237",".400",".309","0.709","63","65","0","0",".242",".377",".309",".307",".315",".135",".377",".374",".329",".339","-0.005",".023",71.7,16.6,15.6,12.3,33.4,26.4,"6.8","20","88.8","17",31.5,"25",7.4,27.1,3.2,40.6,"100.376555353","94.3557595",44,23.3,43.8
"Langeliers, Shea","669127","2024","26","482","534","108","59","18","2","29","145","41",27.2,7.7,".224",".450",".288","0.738","80","58","1","0",".241",".456",".315",".328",".305",".215",".400",".419",".315",".341","-0.017","-0.006",74.1,42,17.7,12.9,32.5,23.7,"7.3","7","91.3","16.3",35.3,"44",12.8,28,2.9,44,"102.05460686","95.451719446",43,29.2,49.5
