"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Webb, Logan","657277","2024","841","617",0.258,0.272,-0.014000000000000012,0.355,0.412,-0.056999999999999995,0.288,0.32,-0.03200000000000003,"3.47","4.31","-0.836"
"Lugo, Seth","607625","2024","836","598",0.229,0.243,-0.013999999999999985,0.353,0.389,-0.03600000000000003,0.278,0.3,-0.021999999999999964,"3.00","3.75","-0.745"
"Nola, Aaron","605400","2024","820","570",0.247,0.244,0.0030000000000000027,0.421,0.388,0.032999999999999974,0.31,0.299,0.01100000000000001,"3.57","3.72","-0.153"
"Gilbert, Logan","669302","2024","803","542",0.196,0.224,-0.027999999999999997,0.353,0.369,-0.016000000000000014,0.255,0.276,-0.02100000000000002,"3.23","3.14","0.095"
"Wheeler, Zack","554430","2024","787","503",0.192,0.197,-0.0050000000000000044,0.328,0.328,0,0.256,0.261,-0.0050000000000000044,"2.56","2.80","-0.235"
"Berríos, José","621244","2024","786","565",0.235,0.265,-0.030000000000000027,0.406,0.44,-0.033999999999999975,0.308,0.334,-0.026000000000000023,"3.60","4.74","-1.137"
"Burnes, Corbin","669203","2024","784","553",0.226,0.231,-0.0050000000000000044,0.347,0.367,-0.020000000000000018,0.273,0.284,-0.010999999999999954,"2.92","3.34","-0.422"
"Kirby, George","669923","2024","778","568",0.245,0.236,0.009000000000000008,0.393,0.396,-0.0030000000000000027,0.287,0.288,-0.0010000000000000009,"3.53","3.44","0.094"
"Keller, Mitch","656605","2024","773","540",0.261,0.249,0.01200000000000001,0.446,0.409,0.03700000000000003,0.331,0.32,0.01100000000000001,"4.25","4.31","-0.063"
"López, Pablo","641154","2024","772","523",0.252,0.239,0.013000000000000012,0.407,0.389,0.01799999999999996,0.306,0.297,0.009000000000000008,"4.08","3.67","0.409"
