"last_name, first_name","player_id","year","player_age","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","meatball_percent","pitch_count_fastball","edge_percent","whiff_percent","swing_percent"
"Morton, Charlie","450203","2024","40","701","613","154","94","35","2","23","167","65",23.8,9.3,".251",".427",".339","0.766",".243",".402",".335",".326",".333",".159",".394",".379",".342",".333",".008",".025",71.6,23.6,13.3,10.1,32.3,24.5,"7.5","22","88.7","9",33,"42",9.3,35.3,5.1,38.4,"77.729736875","93.929105313",66.3,16.1,28,48.5,7,"1301",43.5,26.1,46.6
"Lynn, Lance","458681","2024","37","511","458","113","75","21","1","16","109","44",21.3,8.6,".247",".402",".316","0.718",".262",".453",".314",".340",".330",".191",".359",".397",".320",".340","-0.015","-0.051",71.8,24.8,12.3,9.5,30.3,23.4,"7.1","15","88.9","17",37,"37",10.5,25.7,5.6,39.3,"77.577234686","94.259379457",73.4,20,26.1,34.5,7.6,"1758",42.6,24.1,48.4
"Quintana, Jose","500779","2024","35","717","634","150","96","29","3","22","135","63",18.8,8.8,".237",".396",".314","0.710",".257",".407",".312",".327",".334",".150",".339",".361",".298",".325","-0.020","-0.011",71.9,26.1,16,12.7,36.8,29,"7.4","25","88","10.7",32.9,"34",6.7,30.9,6.5,38.2,"76.44604848","93.89600374",64.5,12,28,38.7,5.2,"1491",43.8,22.2,43.1
"Gibson, Kyle","502043","2024","36","722","641","161","104","30","4","23","151","68",20.9,9.4,".251",".418",".324","0.742",".263",".428",".323",".338",".338",".166",".369",".391",".325",".344","-0.012","-0.010",71.9,25.2,15.1,11.5,37.5,28.5,"7.6","18","88.2","12",34.3,"46",9.2,30.3,5,39.1,"76.558654534","94.071640304",64,14.6,26.3,47.5,5.4,"1679",45.6,25.9,42.9
"Sale, Chris","519242","2024","35","702","652","141","96","32","4","9","225","39",32.1,5.6,".216",".319",".269","0.588",".213",".317",".260",".261",".266",".105",".350",".351",".329",".325",".003",".002",70.6,17.1,10.3,7.3,29.1,20.7,"7.4","26","86.5","9.6",34.9,"24",5.6,32.1,5.8,31.2,"75.016805094","93.046190662",63.9,21.7,33.5,49.4,7.3,"1266",42.9,31,49
"Pérez, Martín","527048","2024","33","590","533","151","101","28","0","22","107","49",18.1,8.3,".283",".460",".349","0.809",".277",".468",".351",".353",".344",".191",".396",".399",".354",".347",".006","-0.008",72.5,28.1,17.6,14,36.1,28.7,"7.5","5","89","11.2",34.3,"37",8.6,29.8,6.3,41.5,"76.89241338","94.749829061",64.7,13.7,28,37.1,6.3,"1392",47.4,21,46
"Anderson, Tyler","542881","2024","34","765","681","158","99","32","3","24","142","73",18.6,9.5,".232",".394",".311","0.705",".245",".413",".308",".322",".323",".168",".334",".354",".291",".308","-0.013","-0.019",72.1,24.5,12.8,9.3,33,23.8,"7.5","12","87.2","17.6",34.1,"43",7.9,28.4,4.8,33,"76.273537333","93.1219435",71.6,20.7,29.5,43.2,6.6,"1791",45.1,27.8,49.3
"Eovaldi, Nathan","543135","2024","34","696","642","147","94","28","2","23","166","42",23.9,6,".229",".386",".282","0.668",".246",".391",".291",".306",".300",".145",".350",".372",".306",".332","-0.017","-0.005",71.5,21.9,15.4,11.3,32.9,24.1,"7.3","13","89.3","8.8",33.5,"37",7.7,36.6,3.3,42.6,"77.906442017","94.485768718",70.3,19.4,32.2,44.5,6.8,"1368",44,26.8,52.2
"Gray, Sonny","543243","2024","34","671","623","142","82","33","6","21","203","39",30.3,5.8,".228",".401",".275","0.676",".237",".394",".292",".297",".285",".157",".393",".400",".336",".350","-0.009",".007",71.5,21.1,13.8,10.1,35.2,25.8,"7.4","35","89.6","11.5",38.1,"38",8.9,31.5,4.2,37.9,"79.276406538","94.211961253",65.9,17.7,30.7,56.7,8.3,"1478",42.4,29.8,48.7
"Hendricks, Kyle","543294","2024","34","567","514","147","110","15","1","21","87","43",15.3,7.6,".286",".442",".340","0.782",".276",".426",".339",".336",".335",".150",".370",".366",".339",".332",".010",".016",71.5,23,13.8,11.4,31.5,26,"7.4","9","85.9","13",36.4,"32",7.4,32.7,4.6,33.4,"73.587198843","93.098027796",64.4,13.4,29.6,29.6,5.5,"1029",46.9,18.9,46.2
