play_id,game_id,batter_id,pitcher_id,inning,half_inning,event,event_type,description,balls,strikes,outs,start_time,end_time,rbi,is_scoring_play
775296_0,775296,660271,543037,1,top,Flyout,field_out,Shohei Ohtani flies out to center fielder Aaron Judge.,0,0,1,2024-10-31T00:09:57.008Z,2024-10-31T00:10:08.803Z,0,False
775296_1,775296,605141,543037,1,top,Groundout,field_out,Mookie Betts grounds out to first baseman Anthony Rizzo.,1,1,2,2024-10-31T00:10:29.190Z,2024-10-31T00:11:24.925Z,0,False
775296_2,775296,518692,543037,1,top,Flyout,field_out,Freddie Freeman flies out to left fielder Alex Verdugo.,0,2,3,2024-10-31T00:11:39.409Z,2024-10-31T00:12:47.647Z,0,False
775296_3,775296,650402,656427,1,bottom,Groundout,field_out,"Gleyber Torres grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.",1,2,1,2024-10-31T00:15:26.072Z,2024-10-31T00:16:44.129Z,0,False
775296_4,775296,665742,656427,1,bottom,Walk,walk,Juan Soto walks.,4,1,1,2024-10-31T00:17:01.150Z,2024-10-31T00:18:15.674Z,0,False
775296_5,775296,592450,656427,1,bottom,Home Run,home_run,Aaron Judge homers (3) on a fly ball to right center field.    Juan Soto scores.,0,0,1,2024-10-31T00:18:27.967Z,2024-10-31T00:19:09.298Z,2,True
775296_6,775296,665862,656427,1,bottom,Home Run,home_run,Jazz Chisholm Jr.  homers (2) on a fly ball to right center field.,2,1,1,2024-10-31T00:19:44.939Z,2024-10-31T00:21:07.668Z,1,True
775296_7,775296,519317,656427,1,bottom,Lineout,field_out,Giancarlo Stanton lines out to center fielder Enrique Hernández.,3,2,2,2024-10-31T00:21:40.251Z,2024-10-31T00:23:17.730Z,0,False
775296_8,775296,519203,656427,1,bottom,Strikeout,strikeout,Anthony Rizzo called out on strikes.,3,3,3,2024-10-31T00:23:41.955Z,2024-10-31T00:25:27.250Z,0,False
775296_9,775296,606192,543037,2,top,Strikeout,strikeout,Teoscar Hernández strikes out swinging.,1,3,1,2024-10-31T00:28:10.462Z,2024-10-31T00:29:41.283Z,0,False
775296_10,775296,571970,543037,2,top,Strikeout,strikeout,Max Muncy called out on strikes.,1,3,2,2024-10-31T00:30:01.938Z,2024-10-31T00:31:23.736Z,0,False
775296_11,775296,571771,543037,2,top,Flyout,field_out,Enrique Hernández flies out to right fielder Juan Soto.,1,1,3,2024-10-31T00:31:42.523Z,2024-10-31T00:32:36.953Z,0,False
775296_12,775296,683011,656427,2,bottom,Double,double,Anthony Volpe doubles (3) on a line drive to left fielder Teoscar Hernández.,0,1,0,2024-10-31T00:35:16.642Z,2024-10-31T00:36:07.029Z,0,False
775296_13,775296,669224,656427,2,bottom,Groundout,field_out,"Austin Wells grounds out, first baseman Freddie Freeman to pitcher Jack Flaherty.   Anthony Volpe to 3rd.",1,0,1,2024-10-31T00:36:17.562Z,2024-10-31T00:37:06.157Z,0,False
775296_14,775296,657077,656427,2,bottom,Single,single,Alex Verdugo singles on a line drive to right fielder Mookie Betts.   Anthony Volpe scores.,3,1,1,2024-10-31T00:37:22.535Z,2024-10-31T00:39:19.110Z,1,True
775296_15,775296,650402,607455,2,bottom,Strikeout,strikeout,Gleyber Torres called out on strikes.,0,3,2,2024-10-31T00:42:35.613Z,2024-10-31T00:43:17.976Z,0,False
775296_16,775296,665742,607455,2,bottom,Walk,walk,Juan Soto walks.,4,2,2,2024-10-31T00:43:26.673Z,2024-10-31T00:46:17.358Z,0,False
775296_17,775296,592450,607455,2,bottom,Walk,walk,Aaron Judge walks.   Alex Verdugo to 3rd.    Juan Soto to 2nd.,4,1,2,2024-10-31T00:47:33.865Z,2024-10-31T00:49:03.228Z,0,False
775296_18,775296,665862,607455,2,bottom,Groundout,field_out,"Jazz Chisholm Jr.  grounds out, first baseman Freddie Freeman to pitcher Anthony Banda.",0,1,3,2024-10-31T00:49:31.621Z,2024-10-31T00:50:01.700Z,0,False
775296_19,775296,669242,543037,3,top,Strikeout,strikeout,Tommy Edman called out on strikes.,0,3,1,2024-10-31T00:53:05.973Z,2024-10-31T00:55:00.836Z,0,False
775296_20,775296,669257,543037,3,top,Pop Out,field_out,Will Smith pops out to first baseman Anthony Rizzo.,1,1,2,2024-10-31T00:55:10.123Z,2024-10-31T00:56:11.551Z,0,False
775296_21,775296,666158,543037,3,top,Walk,walk,Gavin Lux walks.,4,2,2,2024-10-31T00:56:19.059Z,2024-10-31T00:58:23.686Z,0,False
775296_22,775296,660271,543037,3,top,Flyout,field_out,Shohei Ohtani flies out to left fielder Alex Verdugo.,0,2,3,2024-10-31T00:58:31.497Z,2024-10-31T00:59:51.899Z,0,False
775296_23,775296,519317,518489,3,bottom,Home Run,home_run,Giancarlo Stanton homers (7) on a fly ball to right field.,0,0,0,2024-10-31T01:02:57.975Z,2024-10-31T01:03:29.929Z,1,True
775296_24,775296,519203,518489,3,bottom,Lineout,field_out,Anthony Rizzo lines out sharply to right fielder Mookie Betts.,2,0,1,2024-10-31T01:03:29.242Z,2024-10-31T01:04:35.082Z,0,False
775296_25,775296,683011,518489,3,bottom,Flyout,field_out,Anthony Volpe flies out to right fielder Mookie Betts.,1,2,2,2024-10-31T01:04:47.167Z,2024-10-31T01:06:11.187Z,0,False
775296_26,775296,669224,518489,3,bottom,Strikeout,strikeout,Austin Wells strikes out swinging.,1,3,3,2024-10-31T01:06:32.469Z,2024-10-31T01:07:41.803Z,0,False
775296_27,775296,605141,543037,4,top,Walk,walk,Mookie Betts walks.,4,2,0,2024-10-31T01:10:43.165Z,2024-10-31T01:12:42.760Z,0,False
775296_28,775296,518692,543037,4,top,Flyout,field_out,Freddie Freeman flies out sharply to center fielder Aaron Judge.,0,1,1,2024-10-31T01:12:50.941Z,2024-10-31T01:13:42.040Z,0,False
775296_29,775296,606192,543037,4,top,Groundout,field_out,"Teoscar Hernández grounds out, shortstop Anthony Volpe to first baseman Anthony Rizzo.   Mookie Betts to 2nd.",0,0,2,2024-10-31T01:14:43.080Z,2024-10-31T01:14:53.121Z,0,False
775296_30,775296,571970,543037,4,top,Lineout,field_out,Max Muncy lines out to center fielder Aaron Judge.,0,2,3,2024-10-31T01:15:08.234Z,2024-10-31T01:16:55.021Z,0,False
775296_31,775296,657077,656629,4,bottom,Walk,walk,Alex Verdugo walks.,4,2,0,2024-10-31T01:19:58.199Z,2024-10-31T01:21:47.018Z,0,False
775296_32,775296,650402,656629,4,bottom,Pop Out,field_out,Gleyber Torres pops out to shortstop Tommy Edman.,0,0,1,2024-10-31T01:21:56.433Z,2024-10-31T01:22:28.142Z,0,False
775296_33,775296,665742,656629,4,bottom,Single,single,Juan Soto singles on a ground ball to right fielder Mookie Betts.   Alex Verdugo to 2nd.,0,0,1,2024-10-31T01:22:39.858Z,2024-10-31T01:23:04.425Z,0,False
775296_34,775296,592450,656629,4,bottom,Flyout,field_out,Aaron Judge flies out sharply to left fielder Teoscar Hernández.,1,0,2,2024-10-31T01:23:08.708Z,2024-10-31T01:24:20.708Z,0,False
775296_35,775296,665862,656629,4,bottom,Strikeout,strikeout,Jazz Chisholm Jr.  called out on strikes.,2,3,3,2024-10-31T01:24:34.570Z,2024-10-31T01:27:50.770Z,0,False
775296_36,775296,571771,543037,5,top,Single,single,Enrique Hernández singles on a line drive to right fielder Juan Soto.,1,0,0,2024-10-31T01:30:55.205Z,2024-10-31T01:31:28.221Z,0,False
775296_37,775296,669242,543037,5,top,Field Error,field_error,Tommy Edman reaches on a fielding error by center fielder Aaron Judge.   Enrique Hernández to 2nd.,0,2,0,2024-10-31T01:31:38.028Z,2024-10-31T01:33:25.915Z,0,False
775296_38,775296,669257,543037,5,top,Fielders Choice,fielders_choice,"Will Smith reaches on a fielder's choice, fielded by shortstop Anthony Volpe.   Enrique Hernández to 3rd.    Tommy Edman to 2nd.  Enrique Hernández advances to 3rd, on a throwing error by shortstop Anthony Volpe.",2,2,0,2024-10-31T01:34:37.828Z,2024-10-31T01:36:19.470Z,0,False
775296_39,775296,666158,543037,5,top,Strikeout,strikeout,Gavin Lux strikes out swinging.,1,3,1,2024-10-31T01:37:38.359Z,2024-10-31T01:38:52.187Z,0,False
775296_40,775296,660271,543037,5,top,Strikeout,strikeout,Shohei Ohtani strikes out swinging.,1,3,2,2024-10-31T01:39:10.635Z,2024-10-31T01:40:36.197Z,0,False
775296_41,775296,605141,543037,5,top,Single,single,Mookie Betts singles on a ground ball to first baseman Anthony Rizzo.   Enrique Hernández scores.    Tommy Edman to 3rd.    Will Smith to 2nd.,1,0,2,2024-10-31T01:40:47.114Z,2024-10-31T01:41:29.382Z,1,True
775296_42,775296,518692,543037,5,top,Single,single,Freddie Freeman singles on a line drive to center fielder Aaron Judge.   Tommy Edman scores.    Will Smith scores.    Mookie Betts to 3rd.,1,2,2,2024-10-31T01:42:03.872Z,2024-10-31T01:44:22.445Z,2,True
775296_43,775296,606192,543037,5,top,Double,double,Teoscar Hernández doubles (1) on a sharp fly ball to center fielder Aaron Judge.   Mookie Betts scores.    Freddie Freeman scores.,1,2,2,2024-10-31T01:44:53.181Z,2024-10-31T01:46:47.734Z,2,True
775296_44,775296,571970,543037,5,top,Walk,walk,Max Muncy walks.,4,1,2,2024-10-31T01:47:23.024Z,2024-10-31T01:49:45.008Z,0,False
775296_45,775296,571771,543037,5,top,Forceout,force_out,"Enrique Hernández grounds into a force out, fielded by shortstop Anthony Volpe.   Max Muncy out at 2nd.",0,2,3,2024-10-31T01:51:07.448Z,2024-10-31T01:52:11.442Z,0,False
775296_46,775296,519317,681911,5,bottom,Groundout,field_out,"Giancarlo Stanton grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.",1,1,1,2024-10-31T01:55:19.879Z,2024-10-31T01:56:03.174Z,0,False
775296_47,775296,519203,681911,5,bottom,Lineout,field_out,Anthony Rizzo lines out to center fielder Enrique Hernández.,1,2,2,2024-10-31T01:56:13.793Z,2024-10-31T01:58:05.000Z,0,False
775296_48,775296,683011,681911,5,bottom,Single,single,Anthony Volpe singles on a line drive to right fielder Mookie Betts.,1,2,2,2024-10-31T01:58:13.452Z,2024-10-31T01:59:46.935Z,0,False
775296_49,775296,669224,681911,5,bottom,Hit By Pitch,hit_by_pitch,Austin Wells hit by pitch.    Anthony Volpe to 2nd.,3,0,2,2024-10-31T01:59:54.306Z,2024-10-31T02:01:00.466Z,0,False
775296_50,775296,657077,681911,5,bottom,Walk,walk,Alex Verdugo walks.   Anthony Volpe to 3rd.    Austin Wells to 2nd.,4,1,2,2024-10-31T02:02:33.473Z,2024-10-31T02:04:02.703Z,0,False
775296_51,775296,650402,681911,5,bottom,Flyout,field_out,Gleyber Torres flies out to right fielder Mookie Betts.,1,2,3,2024-10-31T02:04:15.538Z,2024-10-31T02:05:50.934Z,0,False
775296_52,775296,669242,543037,6,top,Lineout,field_out,Tommy Edman lines out to left fielder Alex Verdugo.,0,2,1,2024-10-31T02:08:43.141Z,2024-10-31T02:09:37.246Z,0,False
775296_53,775296,669257,543037,6,top,Strikeout,strikeout,Will Smith strikes out swinging.,2,3,2,2024-10-31T02:09:43.272Z,2024-10-31T02:11:33.854Z,0,False
775296_54,775296,666158,543037,6,top,Flyout,field_out,Gavin Lux flies out to right fielder Juan Soto.,0,2,3,2024-10-31T02:11:41.424Z,2024-10-31T02:12:55.828Z,0,False
775296_55,775296,665742,660813,6,bottom,Walk,walk,Juan Soto walks.,4,2,0,2024-10-31T02:15:58.340Z,2024-10-31T02:17:54.982Z,0,False
775296_56,775296,592450,660813,6,bottom,Walk,walk,Aaron Judge walks.   Juan Soto to 2nd.,4,2,0,2024-10-31T02:18:21.050Z,2024-10-31T02:20:54.299Z,0,False
775296_57,775296,665862,660813,6,bottom,Forceout,force_out,"Jazz Chisholm Jr.  grounds into a force out, second baseman Gavin Lux to shortstop Tommy Edman.   Juan Soto to 3rd.    Aaron Judge out at 2nd.    Jazz Chisholm Jr.  to 1st.",0,2,1,2024-10-31T02:22:04.410Z,2024-10-31T02:22:59.106Z,0,False
775296_58,775296,519317,660813,6,bottom,Sac Fly,sac_fly,Giancarlo Stanton out on a sacrifice fly to center fielder Enrique Hernández.   Juan Soto scores.    Jazz Chisholm Jr.  to 2nd.,0,0,2,2024-10-31T02:23:22.066Z,2024-10-31T02:23:50.305Z,1,True
775296_59,775296,519203,660813,6,bottom,Walk,walk,Anthony Rizzo walks.,4,2,2,2024-10-31T02:24:27.006Z,2024-10-31T02:26:37.627Z,0,False
775296_60,775296,683011,595014,6,bottom,Groundout,field_out,"Anthony Volpe grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.",3,2,3,2024-10-31T02:29:41.468Z,2024-10-31T02:31:51.575Z,0,False
775296_61,775296,660271,543037,7,top,Groundout,field_out,"Shohei Ohtani grounds out, shortstop Anthony Volpe to first baseman Anthony Rizzo.",1,1,1,2024-10-31T02:34:26.524Z,2024-10-31T02:35:34.975Z,0,False
775296_62,775296,605141,543037,7,top,Groundout,field_out,"Mookie Betts grounds out, pitcher Gerrit Cole to first baseman Anthony Rizzo.",0,1,2,2024-10-31T02:35:47.892Z,2024-10-31T02:36:24.937Z,0,False
775296_63,775296,518692,543037,7,top,Walk,walk,Freddie Freeman walks.,4,1,2,2024-10-31T02:36:32.508Z,2024-10-31T02:38:07.720Z,0,False
775296_64,775296,606192,605280,7,top,Walk,walk,Teoscar Hernández walks.   Freddie Freeman to 2nd.,4,0,2,2024-10-31T02:41:11.114Z,2024-10-31T02:42:12.766Z,0,False
775296_65,775296,571970,605280,7,top,Strikeout,strikeout,Max Muncy called out on strikes.,3,3,3,2024-10-31T02:42:21.420Z,2024-10-31T02:44:57.147Z,0,False
775296_66,775296,669224,595014,7,bottom,Strikeout,strikeout,Austin Wells strikes out on a foul tip.,0,3,1,2024-10-31T02:50:03.144Z,2024-10-31T02:51:24.097Z,0,False
775296_67,775296,657077,595014,7,bottom,Strikeout,strikeout,Alex Verdugo called out on strikes.,2,3,2,2024-10-31T02:51:31.649Z,2024-10-31T02:53:14.403Z,0,False
775296_68,775296,650402,595014,7,bottom,Groundout,field_out,"Gleyber Torres grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",3,2,3,2024-10-31T02:53:22.533Z,2024-10-31T02:55:39.104Z,0,False
775296_69,775296,571771,592454,8,top,Single,single,Enrique Hernández singles on a sharp line drive to left fielder Alex Verdugo.,1,1,0,2024-10-31T02:58:49.902Z,2024-10-31T02:59:39.243Z,0,False
775296_70,775296,669242,592454,8,top,Single,single,Tommy Edman singles on a ground ball to shortstop Anthony Volpe.   Enrique Hernández to 2nd.,0,0,0,2024-10-31T02:59:55.925Z,2024-10-31T03:00:17.879Z,0,False
775296_71,775296,669257,592454,8,top,Walk,walk,Will Smith walks.   Enrique Hernández to 3rd.    Tommy Edman to 2nd.,4,0,0,2024-10-31T03:02:01.612Z,2024-10-31T03:03:33.663Z,0,False
775296_72,775296,666158,596133,8,top,Sac Fly,sac_fly,Gavin Lux out on a sacrifice fly to center fielder Aaron Judge.   Enrique Hernández scores.    Tommy Edman to 3rd.,3,2,1,2024-10-31T03:06:54.150Z,2024-10-31T03:09:16.998Z,1,True
775296_73,775296,660271,596133,8,top,Catcher Interference,catcher_interf,"Yankees challenged (catcher interference), call on the field was upheld: Shohei Ohtani reaches on catcher interference by Austin Wells.    Will Smith to 2nd.    Shohei Ohtani to 1st.",0,1,1,2024-10-31T03:09:39.904Z,2024-10-31T03:10:10.452Z,0,False
775296_74,775296,605141,596133,8,top,Sac Fly,sac_fly,Mookie Betts out on a sacrifice fly to center fielder Aaron Judge.   Tommy Edman scores.    Will Smith to 3rd.,0,0,2,2024-10-31T03:11:50.586Z,2024-10-31T03:12:21.557Z,1,True
775296_75,775296,518692,596133,8,top,Strikeout,strikeout,Freddie Freeman strikes out swinging.,2,3,3,2024-10-31T03:12:45.333Z,2024-10-31T03:14:53.848Z,0,False
775296_76,775296,665742,595014,8,bottom,Groundout,field_out,"Juan Soto grounds out, first baseman Freddie Freeman to pitcher Blake Treinen.",1,2,1,2024-10-31T03:17:33.424Z,2024-10-31T03:18:57.103Z,0,False
775296_77,775296,592450,595014,8,bottom,Double,double,Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernández.,3,2,1,2024-10-31T03:19:17.603Z,2024-10-31T03:21:40.118Z,0,False
775296_78,775296,665862,595014,8,bottom,Walk,walk,Jazz Chisholm Jr.  walks.,4,1,1,2024-10-31T03:21:54.720Z,2024-10-31T03:24:05.577Z,0,False
775296_79,775296,519317,595014,8,bottom,Flyout,field_out,Giancarlo Stanton flies out to right fielder Mookie Betts.,0,0,2,2024-10-31T03:25:30.427Z,2024-10-31T03:25:46.483Z,0,False
775296_80,775296,519203,595014,8,bottom,Strikeout,strikeout,Anthony Rizzo strikes out swinging.,1,3,3,2024-10-31T03:26:09.585Z,2024-10-31T03:27:50.618Z,0,False
775296_81,775296,606192,596133,9,top,Single,single,Teoscar Hernández singles on a ground ball to left fielder Alex Verdugo.,0,2,0,2024-10-31T03:30:33.216Z,2024-10-31T03:32:02.327Z,0,False
775296_82,775296,571970,596133,9,top,Flyout,field_out,Max Muncy flies out sharply to right fielder Juan Soto.,0,0,1,2024-10-31T03:32:39.028Z,2024-10-31T03:32:52.453Z,0,False
775296_83,775296,571771,596133,9,top,Walk,walk,Enrique Hernández walks.,4,1,1,2024-10-31T03:34:03.208Z,2024-10-31T03:36:55.553Z,0,False
775296_84,775296,669242,643410,9,top,Strikeout,strikeout,Tommy Edman strikes out swinging.,3,3,2,2024-10-31T03:40:05.071Z,2024-10-31T03:42:24.116Z,0,False
775296_85,775296,669257,643410,9,top,Groundout,field_out,"Will Smith grounds out, third baseman Jazz Chisholm Jr.  to first baseman Anthony Rizzo.",0,0,3,2024-10-31T03:42:33.502Z,2024-10-31T03:43:07.194Z,0,False
775296_86,775296,683011,621111,9,bottom,Groundout,field_out,"Anthony Volpe grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",2,2,1,2024-10-31T03:46:06.833Z,2024-10-31T03:47:37.543Z,0,False
775296_87,775296,669224,621111,9,bottom,Strikeout,strikeout,Austin Wells strikes out swinging.,3,3,2,2024-10-31T03:47:56.727Z,2024-10-31T03:49:59.666Z,0,False
775296_88,775296,657077,621111,9,bottom,Strikeout,strikeout,Alex Verdugo strikes out swinging.,1,3,3,2024-10-31T03:50:09.726Z,2024-10-31T03:51:22.288Z,0,False
