player_id,fullName,position,jerseyNumber,status,birthDate,currentAge,height,weight,birthCity,birthCountry,batSide.description,pitchHand.description,mlbDebutDate
605113,Nick Ahmed,Shortstop,12,Minor League Contract,1990-03-15,34,"6' 2""",201,East Longmeadow,USA,Right,Right,2014-06-29
607455,Anthony Banda,Pitcher,43,Active,1993-08-10,31,"6' 2""",221,Corpus Christi,USA,Left,Left,2017-07-22
605131,Austin Barnes,Catcher,15,Active,1989-12-28,35,"5' 10""",187,Riverside,USA,Right,Right,2015-05-24
605141,Mookie Betts,Shortstop,50,Active,1992-10-07,32,"5' 9""",180,Nashville,USA,Right,Right,2014-06-29
624415,Cavan Biggio,Second Base,6,Released,1995-04-11,29,"6' 2""",200,Houston,USA,Left,Right,2019-05-24
518489,Ryan Brasier,Pitcher,57,Active,1987-08-26,37,"6' 0""",223,Wichita Falls,USA,Right,Right,2013-05-02
641401,Connor Brogdon,Pitcher,75,Injured 60-Day,1995-01-29,29,"6' 6""",205,Clovis,USA,Right,Right,2020-08-13
621111,Walker Buehler,Pitcher,21,Active,1994-07-28,30,"6' 2""",185,Lexington,USA,Right,Right,2017-09-07
676508,Ben Casparius,Pitcher,78,Active,1999-02-11,25,"6' 2""",215,Westport,USA,Right,Right,2024-08-31
622503,Nabil Crismatt,Pitcher,70,Minor League Contract,1994-12-25,30,"6' 1""",220,Barranquilla,Colombia,Right,Right,2020-08-17
669242,Tommy Edman,Outfielder,25,Active,1995-05-09,29,"5' 10""",193,Pontiac,USA,Switch,Right,2019-06-08
676439,Hunter Feduccia,Catcher,67,Forty Man,1997-06-05,27,"6' 1""",215,Lake Charles,USA,Left,Right,2024-07-31
656420,J.P. Feyereisen,Pitcher,45,Minor League Contract,1993-02-07,31,"6' 2""",215,River Falls,USA,Right,Right,2020-07-24
656427,Jack Flaherty,Pitcher,0,Active,1995-10-15,29,"6' 4""",225,Burbank,USA,Right,Right,2017-09-01
518692,Freddie Freeman,First Base,5,Active,1989-09-12,35,"6' 5""",220,Villa Park,USA,Left,Right,2010-09-01
607192,Tyler Glasnow,Pitcher,31,Injured 60-Day,1993-08-23,31,"6' 8""",225,Newhall,USA,Left,Right,2016-07-07
660813,Brusdar Graterol,Pitcher,48,Active,1998-08-26,26,"6' 1""",265,Calabozo,Venezuela,Right,Right,2019-09-01
675627,Michael Grove,Pitcher,29,Forty Man,1996-12-18,28,"6' 3""",200,Wheeling,USA,Right,Right,2022-05-15
683618,Edgardo Henriquez,Pitcher,60,Forty Man,2002-06-24,22,"6' 4""",200,Cumana,Venezuela,Right,Right,2024-09-24
622694,Elieser Hernández,Pitcher,52,Minor League Contract,1995-05-03,29,"6' 1""",214,Ocumare del Tuy,Venezuela,Right,Right,2018-05-10
571771,Enrique Hernández,Third Base,8,Active,1991-08-24,33,"5' 11""",195,San Juan,Puerto Rico,Right,Right,2014-07-01
606192,Teoscar Hernández,Outfielder,37,Active,1992-10-15,32,"6' 2""",215,Cotui,Dominican Republic,Right,Right,2016-08-12
518792,Jason Heyward,Outfielder,23,Released,1989-08-09,35,"6' 5""",240,Ridgewood,USA,Left,Left,2010-04-05
641703,Brent Honeywell,Pitcher,40,Active,1995-03-31,29,"6' 2""",195,Augusta,USA,Right,Right,2021-04-11
543339,Daniel Hudson,Pitcher,41,Active,1987-03-09,37,"6' 3""",215,Lynchburg,USA,Right,Right,2009-09-04
